Index,Open,High,Low,Close,Volume
1999-03-10,102.25,102.3125,100.5625,102.125,5232000
1999-03-11,102.875,103.468697,100.625,102.625,9688600
1999-03-12,102.25,102.3125,99.3125,100.125,8743600
1999-03-15,100.875,103.125,99.8125,103,6369000
1999-03-16,103.4375,104.3125,102.3125,103.875,4905800
1999-03-17,103.875,104,102.8125,103.125,3965000
1999-03-18,103,105.1875,102.968697,105.125,4848400
1999-03-19,106.5,106.5,102.375,102.4375,7160400
1999-03-22,102.875,103.125,101,101.1875,5024800
1999-03-23,100.625,101,97.4375,97.625,10962400
1999-03-24,98.5,101,97,100.9375,8447000
1999-03-25,102.5,104.625,101.828102,104.625,8133800
1999-03-26,103.75,104.9375,103.0625,103.5,8256200
1999-03-29,104.75,107.3125,104.125,107.25,5113800
1999-03-30,107.125,108,106.0625,106.5,4940600
1999-03-31,108.25,108.375,104.625,104.9375,8256600
1999-04-01,108,108.125,105.375,107.125,8715800
1999-04-05,108.859299,111.156197,108.1875,111,5697200
1999-04-06,110.875,112.4375,109.9375,111.218697,7522400
1999-04-07,112.25,112.5,107.6875,110.0625,11923600
1999-04-08,109.875,111.468697,107.625,110.9375,7952400
1999-04-09,110.75,111.875,110.4375,111.625,4946800
1999-04-12,109,111.625,108.875,110.875,10934000
1999-04-13,111.5625,111.8125,108.5,109.375,9962200
1999-04-14,110.75,110.875,105.015602,105.625,21253800
1999-04-15,106,107.234299,102.25,107.0625,17650600
1999-04-16,106.8125,106.8125,103.375,103.9375,17274000
1999-04-19,104.625,105.5,98.015602,99.0625,19460600
1999-04-20,98.625,102.125,97.6875,101.3125,17413600
1999-04-21,102.25,106.375,100.875,106.3125,10940400
1999-04-22,107.3125,109.5,106.609299,109.1875,13630600
1999-04-23,108.625,111.4375,107.5,110.625,7064400
1999-04-26,111.375,114,111.015602,113.171799,5421000
1999-04-27,114,114.5625,110.015602,111.4375,16482800
1999-04-28,110.5,110.875,107.140602,107.625,7676800
1999-04-29,107.125,107.75,104.5,106.75,19148200
1999-04-30,108.25,108.8125,103.625,107.4375,15295200
1999-05-03,107.125,107.5625,105.078102,106.875,11109800
1999-05-04,107.0625,108.75,104.5625,105.1875,15428400
1999-05-05,105.25,108.375,102.0625,108.375,12642600
1999-05-06,107.375,108.3125,103.4375,104.4375,15173400
1999-05-07,105.375,106.25,103.125,105.9375,16430400
1999-05-10,106.625,107.718697,105.375,107,10604200
1999-05-11,107.875,109.25,107.25,108.6875,8800800
1999-05-12,109.1875,111.3125,106,110.9375,12507400
1999-05-13,111.8125,112,108.375,108.875,9864000
1999-05-14,106.75,108,106,106.8125,12205400
1999-05-17,105.875,109.0625,104.828102,108.734299,9906800
1999-05-18,108.625,109.25,107,108.25,9267800
1999-05-19,108.6875,109.8125,107,109.75,7985600
1999-05-20,109.984299,109.984299,106.5625,106.734299,5997200
1999-05-21,107.0625,107.375,105.1875,105.75,10958600
1999-05-24,105.9375,106.125,102.375,103.0625,9569800
1999-05-25,102.9375,104.4375,99.25,99.6875,17771200
1999-05-26,101,102.875,97.875,102.468697,26772000
1999-05-27,102.0625,103.859299,100.75,102.375,23334800
1999-05-28,103,104.625,101.6875,104.0625,12969800
1999-06-01,103.875,104.375,101.1875,101.75,6960200
1999-06-02,101.6875,104,99.140602,103.468697,11996600
1999-06-03,104.25,104.25,101.375,102,11147800
1999-06-04,102.75,105.484299,102.75,105.125,12987200
1999-06-07,105.859299,107.984299,105.625,107.3125,11491800
1999-06-08,107.5625,108.0625,104.078102,104.625,8134800
1999-06-09,105,106.671799,104.9375,106.375,8384400
1999-06-10,105.25,105.875,103.890602,105.156197,9392400
1999-06-11,105.875,105.984299,102.625,103.5625,16567600
1999-06-14,103.9375,103.9375,101.375,101.609299,14136800
1999-06-15,101.859299,103.734299,101.5625,103.125,9147800
1999-06-16,105.6875,108.421799,105.5625,108.421799,15060200
1999-06-17,107,110.125,107,109.625,16278200
1999-06-18,108.625,110.4375,108.4375,110.125,5392800
1999-06-21,110.875,113.484299,110.6875,113.421799,10565200
1999-06-22,112.75,114.1875,110,110,10862800
1999-06-23,110.015602,112,109.3125,111.734299,9607000
1999-06-24,111.6875,111.75,109,109.515602,14988800
1999-06-25,110.25,111.125,108.375,109.375,8635600
1999-06-28,110.3125,112.125,109.406197,111.968697,7666200
1999-06-29,111.875,113.9375,111.3125,113.5,9000400
1999-06-30,113.609299,119.875,112.265602,115.25,19467600
1999-07-01,115.625,116.6875,113.625,116.031197,6822600
